 Date,AIG Price Target,AIG Price Target - High,AIG Price Target - Low,AIG Price Target - StdDev,AIG Price Target - Median,AIG Open,AIG Low,AIG High,AIG Close,AIG Adj. Close,AIG Rating,AIG Price Target - #,Ticker
12-12-2014,61.45,68.0,55,3.27834,61.5,45.056604347104006,44.366962443832,45.385005253424005,54.05,44.37517246649,3.875,20,AIG
12-15-2014,61.45,68.0,55,3.27834,61.5,44.711783395468,43.578800268664,44.818513690022,53.48,43.907201174984,3.875,20,AIG
12-16-2014,61.45,68.0,55,3.27834,61.5,43.55417020069,43.38996974753,44.424432602438,52.88,43.414599815504005,3.875,20,AIG
12-17-2014,61.45,68.0,55,3.27834,61.5,43.660900495244,43.496700042084,44.490112783702,54.02,44.350542398516005,3.875,20,AIG
12-18-2014,61.45,68.0,55,3.27834,61.5,44.892403893944,44.637893191546,45.163334641658,55.01,45.163334641658,3.875,20,AIG
12-19-2014,61.45,68.0,55,3.27834,61.5,45.171544664316,45.03197427913,45.844766522272,55.78,45.795506386324,3.875,20,AIG
12-22-2014,61.45,68.0,55,3.27834,61.5,45.754456273034,45.631305933164,46.164957405934,56.13,46.082857179354,3.875,20,AIG
12-23-2014,61.45,68.0,55,3.27834,61.5,46.082857179354,46.066437134038,46.46872824428,56.44,46.337367881752,3.875,20,AIG
12-24-2014,61.45,68.0,55,3.27834,61.5,46.517988380228,46.189587473908,46.575458538834,56.28,46.206007519224,3.875,20,AIG
12-26-2014,61.45,68.0,55,3.27834,61.5,46.42767813099,46.296317768462,46.616508652124,56.42,46.320947836436005,3.875,20,AIG
12-29-2014,61.45,68.0,55,3.27834,61.5,46.255267655172005,46.164957405934,46.624718674782,56.49,46.378417995042,3.875,20,AIG
12-30-2014,61.45,68.0,55,3.27834,61.5,46.34557790441001,46.173167428592,46.6271816815794,56.51,46.394838040358,3.875,20,AIG
12-31-2014,61.45,68.0,55,3.27834,61.5,46.575458538834,45.951496816826,46.59187858415,56.01,45.984336907458,3.875,20,AIG
01-02-2015,61.45,68.0,55,3.27834,61.5,46.411258085674,45.77087631835,46.46872824428,56.11,46.066437134038,3.875,20,AIG
01-05-2015,61.5,68.0,55,3.32415,61.5,45.713406159744,44.933454007234,45.869396590246,55.0,45.155124619,3.875,20,AIG
01-06-2015,61.5,68.0,55,3.32415,61.5,44.941664029892,44.120661764092006,45.048394324446,54.22,44.514742851676,3.875,20,AIG
01-07-2015,61.5,68.0,55,3.32415,61.5,44.933454007234,44.473692738386,44.933454007234,54.48,44.728203440784,3.875,20,AIG
01-08-2015,61.45,68.0,55,3.35373,61.5,44.678943304836,44.219182035988,44.88041726086332,54.24,44.531162896992,3.83333,20,AIG
01-09-2015,61.45,68.0,55,3.35373,61.5,44.49832280636,43.480279996768,44.572213010282,53.32,43.775840812456,3.83333,20,AIG
01-12-2015,61.45,68.0,55,3.35373,61.5,43.628060404612,42.807058138812,43.693740585876,52.36,42.987678637288,3.83333,20,AIG
01-13-2015,61.4,68.0,55,3.54119,61.5,43.184719181080006,41.772595283904,43.537750155374,51.87,42.585387527046,3.83333,20,AIG
01-14-2015,61.4,68.0,55,3.54119,61.5,41.895745623774005,41.435984354926,42.232356552752,51.38,42.183096416804005,3.83333,20,AIG
01-15-2015,61.4,68.0,55,3.54119,61.5,42.183096416804005,41.353884128346,42.314456779332,50.4,41.37851419632,3.83333,20,AIG
01-16-2015,61.3,68.0,55,3.68917,61.5,41.222523765818,41.09116340329,41.986055873012,51.11,41.961425805038,3.83333,20,AIG
01-20-2015,61.3,68.0,55,3.68917,61.5,42.133836280856,41.288203947082,42.2816166887,50.65,41.58376476277,3.83333,20,AIG
01-21-2015,61.3,68.0,55,3.68917,61.5,41.41956430961,41.09116340329,41.940900748393,50.83,41.731545170614,3.83333,20,AIG
01-22-2015,61.52632,68.0,55,3.46969,61.0,42.100996190224,41.756175238588,42.963048569314,52.28,42.921998456024,3.86957,19,AIG
01-23-2015,61.52632,68.0,55,3.46969,61.0,42.889158365392,42.273406666042,42.987678637288,51.51,42.289826711358,3.86957,19,AIG
01-26-2015,61.52632,68.0,55,3.46969,61.0,42.133836280856,41.8711155558,42.339086847306,51.21,42.043526031618,3.86957,19,AIG
01-27-2015,61.52632,68.0,55,3.46969,61.0,41.657654966692,41.247153833792005,41.813645397194,50.47,41.435984354926,3.86957,19,AIG
01-28-2015,61.52632,68.0,55,3.46969,61.0,41.739755193272,40.376891432044,41.739755193272,49.21,40.401521500018,3.86957,19,AIG
01-29-2015,61.52632,68.0,55,3.46969,61.0,40.532881862546,39.966390299144,40.80381261026,49.26,40.442571613308,3.86957,19,AIG
01-30-2015,61.52632,68.0,55,3.46969,61.0,40.14701079762,40.02386045775,40.738132428996,48.87,40.122380729646,3.86957,19,AIG
02-02-2015,61.52632,68.0,55,3.46969,61.0,40.253741092174,40.237321046858,41.54271464948,50.46,41.427774332268,3.86957,19,AIG
02-03-2015,61.52632,68.0,55,3.46969,61.0,41.70691510264,41.54271464948,42.191306439462,51.33,42.142046303514,3.86957,19,AIG
02-04-2015,61.52632,68.0,55,3.46969,61.0,41.928585714406005,41.91216566909,42.618227617678,51.51,42.289826711358,3.86957,19,AIG
02-05-2015,61.52632,68.0,55,3.46969,61.0,42.084576144908,41.99426589567,42.585387527046,51.62,42.380136960596,3.86957,19,AIG
02-06-2015,61.52632,68.0,55,3.46969,61.0,42.65106770831,42.65106770831,43.14366906779,52.1,42.77421804818,3.86957,19,AIG
02-09-2015,61.57895,68.0,55,3.45369,61.0,42.421187073886,42.298036734016,43.077988886526,52.14,42.807058138812,3.86957,19,AIG
02-10-2015,61.57895,68.0,55,3.45369,61.0,43.127249022474,42.659277730968,43.324289566266,52.41,43.028728750578,3.86957,19,AIG
02-11-2015,61.57895,68.0,55,3.45369,61.0,42.954838546656,42.437607119202,42.987678637288,52.25,42.89736838805,3.86957,19,AIG
02-12-2015,61.57895,68.0,55,3.45369,61.0,42.946628523998,42.757798002864,43.258609385002,52.45,43.06156884121,3.86957,19,AIG
02-13-2015,61.68421,68.0,55,3.43439,61.0,42.002475918328,41.99426589567,44.449062670412005,53.96,44.301282262568,3.86957,19,AIG
02-17-2015,61.68421,68.0,55,3.43439,61.0,44.40801255712201,44.342332375858,45.368585208108,54.99,45.146914596342,3.86957,19,AIG
02-18-2015,61.68421,68.0,55,3.43439,61.0,44.925243984576,44.8152296809588,45.23722484558,54.71,44.917033961918,3.86957,19,AIG
02-19-2015,61.68421,68.0,55,3.43439,61.0,44.875983848628,44.777463576732,45.36037518545,54.98,45.138704573684,3.86957,19,AIG
02-20-2015,61.73684,68.0,55,3.4617,61.0,45.040184301788,44.654313236862,45.458895457346,55.22,45.335745117476,3.86957,19,AIG
02-23-2015,61.73684,68.0,55,3.4617,61.0,45.319325072160005,44.654313236862,45.319325072160005,54.57,44.802093644706,3.86957,19,AIG
02-24-2015,61.73684,68.0,55,3.4617,61.0,44.76104353141601,44.76104353141601,45.44247541203,55.04,45.187964709632,3.86957,19,AIG
02-25-2015,61.73684,68.0,55,3.4617,61.0,44.958084075208,44.917033961918,45.245434868238,54.8,44.99092416584,3.86957,19,AIG
02-26-2015,61.73684,68.0,55,3.4617,61.0,44.974504120524,44.892403893944,45.2491293784341,54.93,45.097654460394,3.86957,19,AIG
