 Date,TSLA Price Target,TSLA Price Target - High,TSLA Price Target - Low,TSLA Price Target - StdDev,TSLA Price Target - Median,TSLA Open,TSLA Low,TSLA High,TSLA Close,TSLA Adj. Close,TSLA Rating,TSLA Price Target - #,Ticker
02-29-2016,15.44815,23.66667,9.33333,4.80097,14.23334,12.826666,12.6148,13.09,12.795333,12.795333,3.15,18,TSLA
03-01-2016,15.44815,23.66667,9.33333,4.80097,14.23334,12.95,12.18,13.063226,12.423333,12.423333,3.15,18,TSLA
03-02-2016,15.44815,23.66667,9.33333,4.80097,14.23334,12.248666,12.1,12.568,12.556,12.556,3.15,18,TSLA
03-03-2016,15.44815,23.66667,9.33333,4.80097,14.23334,12.552,12.281333,13.161333,13.049333,13.049333,3.15,18,TSLA
03-04-2016,15.44815,23.66667,9.33333,4.80097,14.23334,13.2,13.166673,13.602,13.402666,13.402666,3.15,18,TSLA
03-07-2016,15.44815,23.66667,9.33333,4.80097,14.23334,13.178666,13.16,13.98,13.686,13.686,3.15,18,TSLA
03-08-2016,15.44815,23.66667,9.33333,4.80097,14.23334,13.566666,13.48,13.833333,13.506666,13.506666,3.15,18,TSLA
03-09-2016,15.44815,23.66667,9.33333,4.80097,14.23334,13.634666,13.519333,13.958173,13.914666,13.914666,3.15,18,TSLA
03-10-2016,15.44815,23.66667,9.33333,4.80097,14.23334,14.0,13.378066,14.219333,13.678666,13.678666,3.15,18,TSLA
03-11-2016,15.44815,23.66667,9.33333,4.80097,14.23334,13.862,13.688666,13.961333,13.833333,13.833333,3.15,18,TSLA
03-14-2016,15.79259,23.66667,9.33333,4.88029,14.83334,14.176666,14.042666,14.448,14.343333,14.343333,3.25,18,TSLA
03-15-2016,15.79259,23.66667,9.33333,4.88029,14.83334,14.284666,14.1,14.598,14.556,14.556,3.25,18,TSLA
03-16-2016,15.79259,23.66667,9.33333,4.88029,14.83334,14.533333,14.468,14.838666,14.795333,14.795333,3.25,18,TSLA
03-17-2016,15.79259,23.66667,9.33333,4.88029,14.83334,14.764666,14.666666,15.233333,15.092,15.092,3.25,18,TSLA
03-18-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.273333,15.204,15.632,15.516,15.516,3.25,18,TSLA
03-21-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.689333,15.666666,15.992,15.888,15.888,3.35,18,TSLA
03-22-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.814,15.503866,15.932666,15.616,15.616,3.35,18,TSLA
03-23-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.491333,14.802,15.648666,14.838666,14.838666,3.35,18,TSLA
03-24-2016,15.79259,23.66667,9.33333,4.88029,14.83334,14.385333,14.333333,15.25918,15.183333,15.183333,3.35,18,TSLA
03-28-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.440666,15.0,15.654,15.350666,15.350666,3.35,18,TSLA
03-29-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.326,15.022,15.492,15.342,15.342,3.35,18,TSLA
03-30-2016,15.79259,23.66667,9.33333,4.88029,14.83334,15.672666,15.1,15.7,15.126,15.126,3.35,18,TSLA
03-31-2016,15.62807,23.66667,9.33333,4.80114,14.66667,15.289333,15.000666,15.828,15.318,15.318,3.35,19,TSLA
04-01-2016,16.13684,33.33333,9.33333,5.99081,14.66667,16.321666,15.55,16.526666,15.839333,15.839333,3.35,19,TSLA
04-04-2016,16.27719,33.33333,9.33333,6.01714,14.66667,16.608,16.242666,16.808,16.466,16.466,3.35,19,TSLA
04-05-2016,16.62807,33.33333,9.33333,6.12583,14.66667,16.033333,16.0,17.104,17.031333,17.031333,3.35,19,TSLA
04-06-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.931333,16.896666,17.849333,17.694666,17.694666,3.35,18,TSLA
04-07-2016,16.94074,33.33333,9.33333,6.14435,16.66667,17.763333,16.967333,17.956,17.146666,17.146666,3.35,18,TSLA
04-08-2016,16.94074,33.33333,9.33333,6.14435,16.66667,17.366666,16.534673,17.388,16.671333,16.671333,3.35,18,TSLA
04-11-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.733333,16.353333,17.266,16.661333,16.661333,3.35,18,TSLA
04-12-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.633333,16.242,16.786666,16.521333,16.521333,3.35,18,TSLA
04-13-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.567333,16.488666,17.033333,16.968666,16.968666,3.35,18,TSLA
04-14-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.866666,16.736673,17.1226,16.790666,16.790666,3.35,18,TSLA
04-15-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.754,16.608,16.973333,16.967333,16.967333,3.35,18,TSLA
04-18-2016,16.94074,33.33333,9.33333,6.14435,16.66667,16.815333,16.777333,17.220666,16.925333,16.925333,3.35,18,TSLA
04-19-2016,16.9963,33.33333,9.33333,6.08862,16.66667,16.874666,16.0834,16.957993,16.491333,16.491333,3.35,18,TSLA
04-20-2016,16.89804,33.33333,9.33333,6.25126,14.66667,16.417333,16.1,16.910666,16.664666,16.664666,3.31579,17,TSLA
04-21-2016,16.89804,33.33333,9.33333,6.25126,14.66667,16.599333,16.460666,16.726666,16.552666,16.552666,3.31579,17,TSLA
04-22-2016,16.89804,33.33333,9.33333,6.25126,14.66667,16.592666,16.380666,16.933333,16.916666,16.916666,3.31579,17,TSLA
04-25-2016,17.06667,33.33333,9.33333,6.19483,16.33333,16.867333,16.717333,17.158666,16.788,16.788,3.31579,17,TSLA
04-26-2016,17.06667,33.33333,9.33333,6.19483,16.33333,16.803333,16.626,17.048666,16.916,16.916,3.31579,17,TSLA
04-27-2016,17.06667,33.33333,9.33333,6.19483,16.33333,16.85,16.626666,17.0,16.764666,16.764666,3.31579,17,TSLA
04-28-2016,17.06667,33.33333,9.33333,6.19483,16.33333,16.656666,16.496,16.895333,16.514,16.514,3.31579,17,TSLA
04-29-2016,17.06667,33.33333,9.33333,6.19483,16.33333,16.542666,15.854,16.562,16.050666,16.050666,3.31579,17,TSLA
05-02-2016,17.06667,33.33333,9.33333,6.19483,16.33333,16.1,15.654666,16.212666,16.12,16.12,3.31579,17,TSLA
05-03-2016,17.34167,33.33333,9.33333,6.28401,17.5,15.824,15.441333,15.927333,15.488,15.488,3.31579,16,TSLA
05-04-2016,17.34167,33.33333,9.33333,6.28401,17.5,15.352666,14.693333,15.630666,14.837333,14.837333,3.31579,16,TSLA
05-05-2016,18.10588,33.33333,10.0,6.25598,17.93333,15.230666,13.986,15.242666,14.102,14.102,3.36842,17,TSLA
05-06-2016,18.10588,33.33333,10.0,6.25598,17.93333,14.058,13.874,14.424666,14.328666,14.328666,3.36842,17,TSLA
05-09-2016,18.10588,33.33333,10.0,6.25598,17.93333,14.381333,13.786666,14.41,13.928,13.928,3.36842,17,TSLA
05-10-2016,18.10588,33.33333,10.0,6.25598,17.93333,13.836666,13.666666,13.964666,13.912666,13.912666,3.36842,17,TSLA
05-11-2016,17.88333,33.33333,10.0,6.3829,17.36666,13.839333,13.736666,14.365333,13.930666,13.930666,3.27778,16,TSLA
05-12-2016,17.925,33.33333,10.0,6.40308,17.36666,14.096,13.577146,14.111333,13.818666,13.818666,3.27778,16,TSLA
05-13-2016,17.925,33.33333,10.0,6.40308,17.36666,13.852,13.78,14.08,13.840666,13.840666,3.27778,16,TSLA
05-16-2016,17.925,33.33333,10.0,6.40308,17.36666,13.876666,13.861333,14.21,13.886,13.886,3.27778,16,TSLA
05-17-2016,17.925,33.33333,10.0,6.40308,17.36666,13.936666,13.601333,13.987993,13.644,13.644,3.27778,16,TSLA
05-18-2016,18.43111,33.33333,10.0,6.29558,17.93333,13.943333,13.85,14.354,14.078,14.078,3.41176,15,TSLA
05-19-2016,18.43111,33.33333,10.0,6.29558,17.93333,14.241333,13.82,14.452666,14.347333,14.347333,3.41176,15,TSLA
05-20-2016,17.925,33.33333,10.0,6.40308,17.36666,14.466,14.423333,14.703333,14.685333,14.685333,3.33333,16,TSLA
05-23-2016,17.925,33.33333,10.0,6.40308,17.36666,14.658,14.390666,14.84,14.414666,14.414666,3.33333,16,TSLA
05-24-2016,17.88333,33.33333,10.0,6.41242,17.3,14.44,14.345333,14.582666,14.527333,14.527333,3.33333,16,TSLA
05-25-2016,17.88333,33.33333,10.0,6.41242,17.3,14.527333,14.434,14.757333,14.638666,14.638666,3.33333,16,TSLA
05-26-2016,17.88333,33.33333,10.0,6.41242,17.3,14.7,14.603333,15.017333,15.008,15.008,3.33333,16,TSLA
05-27-2016,17.88333,33.33333,10.0,6.41242,17.3,14.999333,14.716666,15.062,14.869333,14.869333,3.33333,16,TSLA
05-31-2016,17.88333,33.33333,10.0,6.41242,17.3,14.869333,14.766673,14.983313,14.882,14.882,3.33333,16,TSLA
06-01-2016,17.88333,33.33333,10.0,6.41242,17.3,14.765333,14.459333,14.826666,14.637333,14.637333,3.33333,16,TSLA
06-02-2016,18.00784,33.33333,10.0,6.24087,17.93333,14.639333,14.474,14.6606,14.597333,14.597333,3.42105,17,TSLA
06-03-2016,18.00784,33.33333,10.0,6.24087,17.93333,14.666666,14.534,14.796,14.599333,14.599333,3.42105,17,TSLA
06-06-2016,18.00784,33.33333,10.0,6.24087,17.93333,14.533333,14.363333,14.726666,14.712,14.712,3.42105,17,TSLA
