 Date,GE Price Target,GE Price Target - High,GE Price Target - Low,GE Price Target - StdDev,GE Price Target - Median,GE Open,GE Low,GE High,GE Close,GE Adj. Close,GE Rating,GE Price Target - #,Ticker
03-10-2022,116.3,133.0,55.0,17.70427,120.0,68.258075736667,68.01038065723064,71.23663823035999,91.33,71.026661239943,4.14286,18,GE
03-11-2022,115.63333,133.0,55.0,17.62123,119.0,72.16986929887999,71.28329978378599,72.807577195702,92.28,71.765469169188,4.14286,18,GE
03-14-2022,115.63333,133.0,55.0,17.62123,119.0,71.889899978324,71.50105369977399,73.095323441829,92.45,71.897676903895,4.14286,18,GE
03-15-2022,115.63333,133.0,55.0,17.62123,119.0,72.519830949575,70.972222760946,72.760915642276,92.35,71.819907648185,4.14286,18,GE
03-16-2022,115.07778,133.0,55.0,17.63244,117.0,72.690923312137,72.1193192826685,74.222977649624,94.7,73.64748515737,4.14286,18,GE
03-17-2022,115.07778,133.0,55.0,17.63244,117.0,73.25863887882,72.566492503001,74.32407768204699,95.53,74.292969979763,4.14286,18,GE
03-18-2022,115.07778,133.0,55.0,17.63244,117.0,74.33963153318899,73.54008581523448,74.588493151461,95.59,74.33963153318899,4.14286,18,GE
03-21-2022,115.07778,133.0,55.0,17.63244,117.0,73.453062018095,72.8270195096295,74.440731565612,94.82,73.740808264222,4.14286,18,GE
03-22-2022,115.07778,133.0,55.0,17.63244,117.0,74.067439138204,73.56971590165999,74.837354769733,94.9,73.80302366879,4.14286,18,GE
03-23-2022,115.07778,133.0,55.0,17.63244,117.0,73.55416205051799,72.722031014421,73.616377455086,93.7,72.86979260027,4.14286,18,GE
03-24-2022,115.07778,133.0,55.0,17.63244,117.0,73.40640046466899,72.830907972415,73.429731241382,94.12,73.196423474252,4.14286,18,GE
03-25-2022,115.07778,133.0,55.0,17.63244,117.0,73.44528509252399,72.6450394512681,73.810800594361,94.02,73.11865421854199,4.14286,18,GE
03-28-2022,114.91111,133.0,55.0,17.63711,117.0,72.79202334456,70.552268780112,72.823131046844,92.0,71.5477152532,4.14286,18,GE
03-29-2022,114.85556,133.0,55.0,17.63517,116.5,72.340961661442,72.340961661442,73.85746214778699,94.65,73.608600529515,4.14286,18,GE
03-30-2022,114.85556,133.0,55.0,17.63517,116.5,72.807577195702,72.56042650105562,73.989669882494,94.58,73.55416205051799,4.14286,18,GE
03-31-2022,114.85556,133.0,55.0,17.63517,116.5,72.908677228125,71.135538197937,73.0618826618737,91.5,71.15886897464999,4.14286,18,GE
04-01-2022,114.85556,133.0,55.0,17.63517,116.5,71.62548450890999,70.85556887738099,71.983223085176,92.49,71.928784606179,4.14286,18,GE
04-04-2022,114.85556,133.0,55.0,17.63517,116.5,71.687699913478,70.69225344039,71.79657687147198,92.02,71.563269104342,4.14286,18,GE
04-05-2022,114.52222,133.0,55.0,17.45829,116.5,71.28329978378599,69.92233780886099,71.812130722614,90.1,70.07009939471,4.14286,18,GE
04-06-2022,114.07778,133.0,55.0,17.31257,115.5,69.502383828027,68.296960364522,70.124537873707,89.91,69.92233780886099,4.14286,18,GE
04-07-2022,114.07778,133.0,55.0,17.31257,115.5,69.85234547872199,67.729244797839,70.054545543568,89.46,69.572376158166,4.14286,18,GE
04-08-2022,113.85556,133.0,55.0,17.49093,115.5,69.59570693487899,68.919114410202,70.202307129417,89.74,69.79013007415399,4.14286,18,GE
04-11-2022,113.85556,133.0,55.0,17.49093,115.5,69.634591562734,69.237968358613,71.2249728420035,89.67,69.735691595157,4.14286,18,GE
04-12-2022,113.85556,133.0,55.0,17.49093,115.5,69.99233013899999,69.44794534903,71.034438165514,90.0,69.99233013899999,4.14286,18,GE
04-13-2022,113.38889,133.0,55.0,17.99425,117.0,70.11676094813599,69.984553213429,71.119984346795,90.75,70.575599556825,4.14286,18,GE
04-14-2022,112.83333,133.0,55.0,17.56021,117.0,70.801130398384,70.48227644997299,71.664369136765,90.83,70.63781496139299,4.14286,18,GE
04-18-2022,112.83333,133.0,55.0,17.56021,117.0,70.74669191938699,69.91456088329,71.15886897464999,90.4,70.30340716184,4.14286,18,GE
