 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
04-24-2013,31.05557,35.0,25.0,2.86641,31.75,27.7859713985025,27.58380992511,27.8533585563,30.765,27.642212128534503,3.71429,22,NKE
04-25-2013,31.05557,35.0,25.0,2.86641,31.75,27.682644423213,27.6601820372805,28.073489938438502,31.035,27.884805896605503,3.71429,22,NKE
04-26-2013,31.05557,35.0,25.0,2.86641,31.75,27.925238191284,27.664674514467,28.0645049840655,30.945,27.8039413072485,3.71429,22,NKE
04-29-2013,31.14648,35.0,25.0,2.92602,31.75,27.8533585563,27.682644423213,28.217249208406503,31.315,28.1363846190495,3.71429,22,NKE
04-30-2013,31.14648,35.0,25.0,2.92602,31.75,28.1813093909145,28.149862050609,28.64628077971725,31.8,28.572154906140003,3.71429,22,NKE
05-01-2013,31.14648,35.0,25.0,2.92602,31.75,28.554184997394003,28.39245581868,28.882135832008505,31.68,28.464335453664003,3.71429,22,NKE
05-02-2013,31.14648,35.0,25.0,2.92602,31.75,28.527230134275,28.280143889017506,28.558677474580502,31.66,28.446365544918,3.71429,22,NKE
05-03-2013,31.14648,35.0,25.0,2.92602,31.75,28.608094723632,28.608094723632,29.183131803504,32.275,28.9989402388575,3.71429,22,NKE
05-06-2013,31.14648,35.0,25.0,2.92602,31.75,28.93155308106,28.653019495497,28.9989402388575,31.98,28.733884084854,3.71429,22,NKE
05-07-2013,31.28284,35.0,25.0,3.03065,31.75,28.8372110601435,28.666496927056503,28.9180756495005,31.955,28.711421698921495,3.71429,22,NKE
05-08-2013,31.28284,35.0,25.0,3.03065,31.75,28.617079678005,28.6036022464455,28.80351748124475,31.95,28.706929221735,3.71429,22,NKE
05-09-2013,31.28284,35.0,25.0,3.03065,31.75,28.706929221735,28.5946172920725,28.989955284484505,31.87,28.635049586751,3.71429,22,NKE
05-10-2013,31.28284,35.0,25.0,3.03065,31.75,28.688959312989,28.6036022464455,29.109005929926752,32.38,29.093282259774004,3.71429,22,NKE
05-13-2013,31.28284,35.0,25.0,3.03065,31.75,28.980970330111504,28.895613263568,29.11125216852,32.325,29.043865010722502,3.71429,22,NKE
05-14-2013,31.51011,37.5,25.0,3.28981,31.75,28.989955284484505,28.989955284484505,29.641364476527,32.955,29.6099171362215,3.71429,22,NKE
05-15-2013,31.51011,37.5,25.0,3.28981,31.75,29.551514932797,29.4032631856425,29.6503494309,32.915,29.5739773187295,3.71429,22,NKE
05-16-2013,31.51011,37.5,25.0,3.28981,31.75,29.542529978424003,28.823733628584,29.681796771205494,32.22,28.949522989806,3.71429,22,NKE
05-17-2013,31.51011,37.5,25.0,3.28981,31.75,28.9630004213655,28.93155308106,29.398770708456,32.66,29.344860982218,3.71429,22,NKE
05-20-2013,31.5783,37.5,25.0,3.3044,32.5,29.3223985962855,29.2235640981825,29.425725571575,32.665,29.3493534594045,3.71429,22,NKE
05-21-2013,31.5783,37.5,25.0,3.3044,32.5,29.353845936591004,29.192116757877,29.4032631856425,32.615,29.304428687539502,3.71429,22,NKE
05-22-2013,31.5783,37.5,25.0,3.3044,32.5,29.308921164726,28.792286288278504,29.457172911880495,32.225,28.9540154669925,3.71429,22,NKE
05-23-2013,31.5783,37.5,25.0,3.3044,32.5,28.742869039227,28.343038569628504,28.819196226625635,31.665,28.4508580221045,3.71429,22,NKE
05-24-2013,31.5783,37.5,25.0,3.3044,32.5,28.1543545277955,27.655689560094,28.2442040715255,31.395,28.2082642540335,3.71429,22,NKE
05-28-2013,31.5783,37.5,25.0,3.3044,32.5,28.558677474580502,28.31832994510275,28.80082199493285,31.64,28.428395636172,3.71429,22,NKE
05-29-2013,31.5783,37.5,25.0,3.3044,32.5,28.2621739802715,28.03305764376,28.3789783871205,31.465,28.2711589346445,3.71429,22,NKE
05-30-2013,31.5783,37.5,25.0,3.3044,32.5,28.374831868937505,28.1224108070375,28.532595032625,31.205,28.1314258449625,3.71429,22,NKE
05-31-2013,31.5783,37.5,25.0,3.3044,32.5,28.03676794675,27.793361922775,28.460474729225,30.83,27.793361922775,3.71429,22,NKE
06-03-2013,31.5783,37.5,25.0,3.3044,32.5,27.766316809000003,27.5454483798375,28.43342961545,31.515,28.4108920206375,3.71429,22,NKE
06-04-2013,31.5783,37.5,25.0,3.3044,32.5,28.5100574378125,28.0863506553375,28.6542980446125,31.39,28.298204046575,3.71429,22,NKE
06-05-2013,31.5783,37.5,25.0,3.3044,32.5,28.21706870525,27.766316809000003,28.370324349975,30.875,27.8339295934375,3.71429,22,NKE
06-06-2013,31.5783,37.5,25.0,3.3044,32.5,27.829422074475,27.5905235694625,28.027752908825,31.08,28.0187378709,3.71429,22,NKE
06-07-2013,31.5783,37.5,25.0,3.3044,32.5,28.1629784777,28.0593055415625,28.4379371344125,31.375,28.2846814896875,3.71429,22,NKE
06-10-2013,31.5783,37.5,25.0,3.3044,32.5,28.3568017930875,28.280173970725,28.61373037395,31.52,28.4153995396,3.71429,22,NKE
06-11-2013,31.5783,37.5,25.0,3.3044,32.5,28.081843136375,27.9330950106125,28.370324349975,31.075,28.0142303519375,3.71429,22,NKE
06-12-2013,31.5783,37.5,25.0,3.3044,32.5,28.203546148362506,27.6536288349375,28.203546148362506,30.705,27.6806739487125,3.71429,22,NKE
06-13-2013,31.5783,37.5,25.0,3.3044,32.5,27.631091240125,27.5093882281375,27.9105574158,30.88,27.8384371124,3.71429,22,NKE
06-14-2013,31.5783,37.5,25.0,3.3044,32.5,27.7798393658875,27.7708243279625,28.126918326,30.945,27.8970348589125,3.71429,22,NKE
06-17-2013,31.5783,37.5,25.0,3.3044,32.5,28.117903288075,27.865482226175,28.2711589328,30.97,27.919572453725,3.71429,22,NKE
06-18-2013,31.5783,37.5,25.0,3.3044,32.5,27.8744972641,27.775331846925,28.0593055415625,31.075,28.0142303519375,3.71429,22,NKE
