 Date,MMM Price Target,MMM Price Target - High,MMM Price Target - Low,MMM Price Target - StdDev,MMM Price Target - Median,MMM Open,MMM Low,MMM High,MMM Close,MMM Adj. Close,MMM Rating,MMM Price Target - #,Ticker
02-03-2015,166.5,195,140,15.53625,161.5,129.37061182518897,129.010313457207,130.16953429332298,165.94,129.973719962898,3.4,16,MMM
02-04-2015,166.5,195,140,15.53625,161.5,129.848398791426,128.642182516008,129.887561657511,164.81,129.088639189377,3.4,16,MMM
02-05-2015,166.5,195,140,15.53625,161.5,129.480267850227,129.041643750075,130.48283722200298,166.55,130.451506929135,3.4,16,MMM
02-06-2015,166.5,195,140,15.53625,161.5,130.200864586191,129.676082180652,131.336587702656,166.07,130.075543414719,3.4,16,MMM
02-09-2015,166.5,195,140,15.53625,161.5,128.751838541046,128.328879587328,129.660417034218,164.84,129.11213690902798,3.4,16,MMM
02-10-2015,166.5,195,140,15.53625,161.5,129.55076100918,128.92415515181997,130.13037142723798,165.82,129.87972908429398,3.4,16,MMM
02-11-2015,166.5,195,140,15.53625,161.5,129.662993592828,128.83545807573302,130.017651671583,164.48,129.631468430272,3.4,16,MMM
02-12-2015,166.5,195,140,15.53625,161.5,129.986126509027,129.923076183915,130.790018154205,165.91,130.758492991649,3.4,16,MMM
02-13-2015,166.5,195,140,15.53625,161.5,130.75061170101,130.30137813458705,131.318064627018,165.94,130.782136863566,3.4,16,MMM
02-17-2015,166.5,195,140,15.53625,161.5,130.782136863566,130.112227159251,131.554503346188,166.92,131.554503346188,3.4,16,MMM
02-18-2015,166.5,195,140,15.53625,161.5,131.09738848912602,130.837305898039,132.019499493889,167.4,131.93280529686,3.4,16,MMM
02-19-2015,166.5,195,140,15.53625,161.5,131.93280529686,131.286539464462,132.051024656445,167.09,131.688485287051,3.4,16,MMM
02-20-2015,166.5,195,140,15.53625,161.5,131.412640114686,130.143752321807,132.618477582453,168.12,132.500258222868,3.4,16,MMM
02-23-2015,166.625,195,140,15.71574,161.5,132.516020804146,132.17279059681755,133.08883300778854,168.81,133.044067276959,3.4,16,MMM
02-24-2015,166.625,195,140,15.71574,161.5,132.618477582453,132.460851769673,133.39084406507502,169.12,133.288387286768,3.4,16,MMM
02-25-2015,166.9375,195,140,15.88816,161.5,133.170167927183,132.894322754818,133.71397698127402,168.89,133.107117602071,3.4,16,MMM
02-26-2015,166.9375,195,140,15.88816,161.5,133.075592439515,132.910085336096,133.966178281722,169.61,133.67457052807902,3.4,16,MMM
02-27-2015,166.9375,195,140,15.88816,161.5,133.71397698127402,132.8430943656645,133.784908597025,168.65,132.91796662673502,3.4,16,MMM
03-02-2015,166.9375,195,140,15.88816,161.5,132.531783385424,132.500258222868,134.37600539495,170.5,134.37600539495,3.4,16,MMM
03-03-2015,166.9375,195,140,15.88816,161.5,133.643045365523,131.90128013430402,133.66668923744,168.27,132.618477582453,3.4,16,MMM
03-04-2015,166.9375,195,140,15.88816,161.5,132.610596291814,131.191963976794,132.610596291814,167.16,131.743654321524,3.4,16,MMM
03-05-2015,166.9375,195,140,15.88816,161.5,131.78306077471902,131.373233661491,132.16924401603,167.57,132.066787237723,3.4,16,MMM
03-06-2015,166.9375,195,140,15.88816,161.5,131.22348913935,129.261047770239,131.436283986603,164.36,129.53689294260403,3.4,16,MMM
03-09-2015,166.9375,195,140,15.88816,161.5,129.820619405608,129.655112302189,131.444165277242,166.37,131.121032361043,3.4,16,MMM
03-10-2015,166.9375,195,140,15.88816,161.5,129.89155102135902,127.873940617775,129.93095747455402,162.26,127.881821908414,3.4,16,MMM
03-11-2015,166.9375,195,140,15.88816,161.5,128.22859869653,127.408944470074,128.63842580975802,161.73,127.464113504547,3.4,16,MMM
03-12-2015,166.9375,195,140,15.88816,161.5,128.141904499501,128.126141918223,129.662993592828,164.47,129.623587139633,3.4,16,MMM
03-13-2015,166.9375,195,140,15.88816,161.5,129.268929060878,127.503519957742,129.560536814521,162.74,128.260123859086,3.4,16,MMM
03-16-2015,166.9375,195,140,15.88816,161.5,128.92215227276202,128.92215227276202,131.042219454653,166.21,130.994931710819,3.4,16,MMM
03-17-2015,166.875,195,140,15.92512,161.0,130.45112265672802,128.764526459982,130.459003947367,164.23,129.434436164297,3.4,16,MMM
03-18-2015,166.875,195,140,15.92512,161.0,128.591138065924,127.716314804995,131.578147218105,166.47,131.199845267433,3.4,16,MMM
03-19-2015,166.875,195,140,15.92512,161.0,130.955525257624,129.923076183915,130.994931710819,165.66,130.561460725674,3.4,16,MMM
03-20-2015,167.25,195,140,15.73412,163.5,130.90035622315102,130.348665878421,131.7231629658626,166.49,131.21560784871102,3.4,16,MMM
03-23-2015,167.1875,195,140,15.78456,163.5,131.483571730437,130.69544266653702,131.5426814102295,166.13,130.93188138570702,3.4,16,MMM
03-24-2015,167.1875,195,140,15.78456,163.5,130.49841040056202,130.459003947367,132.129837562835,166.32,131.081625907848,3.4,16,MMM
03-25-2015,167.1875,195,140,15.78456,163.5,131.01857558273602,128.197073533974,131.239251720628,162.7,128.22859869653,3.4,16,MMM
03-26-2015,167.1875,195,140,15.78456,163.5,127.6769083518,127.054286391319,128.75664516934302,162.59,128.141904499501,3.4,16,MMM
03-27-2015,167.1875,195,140,15.78456,163.5,127.960634814804,127.69267093307802,129.17435357321,163.5,128.85910194765,3.4,16,MMM
03-30-2015,167.1875,195,140,15.78456,163.5,129.41079229238,129.41079229238,131.436283986603,166.05,130.86883106059503,3.4,16,MMM
03-31-2015,167.1875,195,140,15.78456,163.5,130.364428459699,129.741806499218,130.8294246074,164.95,130.001889090305,3.4,16,MMM
04-01-2015,166.33333,195,140,15.94017,162.0,129.481723908131,127.59809544541,129.678756174106,162.52,128.08673546502803,3.31579,15,MMM
04-02-2015,166.33333,195,140,15.94017,162.0,128.764526459982,127.771483839468,129.229522607683,162.8,128.30741160292,3.31579,15,MMM
04-06-2015,166.46667,195,140,15.85294,162.0,127.408944470074,127.20403091346002,130.82154331676102,165.48,130.419597494172,3.31579,15,MMM
04-07-2015,166.46667,195,140,15.85294,162.0,130.35654716906,130.261971681392,132.066787237723,166.21,130.994931710819,3.31579,15,MMM
04-08-2015,166.46667,195,140,15.85294,162.0,130.994931710819,130.20680264691902,131.790942065358,166.27,131.042219454653,3.31579,15,MMM
04-09-2015,166.46667,195,140,15.85294,162.0,131.026456873375,130.10434586861203,131.759416902802,166.79,131.452046567881,3.31579,15,MMM
04-10-2015,166.06667,195,140,15.63102,162.0,132.01161820325,131.002813001458,132.16924401603,167.07,131.672722705773,3.31579,15,MMM
