 Date,XOM Price Target,XOM Price Target - High,XOM Price Target - Low,XOM Price Target - StdDev,XOM Price Target - Median,XOM Open,XOM Low,XOM High,XOM Close,XOM Adj. Close,XOM Rating,XOM Price Target - #,Ticker
01-24-2014,101.58824,112,90.0,7.91914,104.0,64.69342783701,63.77865281249,64.740511845625,94.85,63.79883167332499,3.40909,17,XOM
01-27-2014,101.58824,112,90.0,7.91914,104.0,63.9501731295875,63.73156880387499,64.28985062030999,94.92,63.84591568194,3.40909,17,XOM
01-28-2014,101.58824,112,90.0,7.91914,104.0,64.135146020575,63.74502137776499,64.51854437643999,95.65,64.336934628925,3.40909,17,XOM
01-29-2014,101.58824,112,90.0,7.91914,104.0,63.852641968885,63.664305934425,64.7068804109,95.11,63.973715133895,3.40909,17,XOM
01-30-2014,101.4375,112,90.0,8.13917,104.5,63.227097283,62.59482631017,63.866094542775,93.99,63.220370996055,3.40909,16,XOM
01-31-2014,100.9375,112,90.0,8.20418,104.5,62.45357428432499,61.68005128565,62.74280462296,92.16,61.98946048511999,3.40909,16,XOM
02-03-2014,100.9375,112,90.0,8.20418,104.5,61.8246664549675,60.29443617498,62.090354789295,90.05,60.570213939724994,3.40909,16,XOM
02-04-2014,100.9375,112,90.0,8.20418,104.5,60.785455121965,60.126279001355,60.96706486948,90.02,60.55003507888999,3.40909,16,XOM
02-05-2014,100.9375,112,90.0,8.20418,104.5,60.7417342568225,60.11955271440999,60.946886008645,89.58,60.25407845331,3.40909,16,XOM
02-06-2014,100.9375,112,90.0,8.20418,104.5,60.633418357152,60.4572962616,61.087271449536,89.8,60.82986223296,3.40909,16,XOM
02-07-2014,100.9375,112,90.0,8.20418,104.5,61.046627889024,60.7959925992,61.392098153376,90.58,61.358228519616,3.40909,16,XOM
02-10-2014,100.9375,112,90.0,8.20418,104.5,61.27016747184,60.531809455872,61.324358885856,89.52,60.640192283904,3.40909,16,XOM
02-11-2014,100.9375,112,90.0,8.20418,104.5,60.667287990912,60.55890516288,61.6427334432,90.84,61.534350615168,3.40909,16,XOM
02-12-2014,100.9375,112,90.0,8.20418,104.5,61.649507369952005,61.398872080128,62.225291143872,91.08,61.696924857216,3.40909,16,XOM
02-13-2014,100.9375,112,90.0,8.20418,104.5,61.365002446368,61.236297838080006,62.08303868208001,91.43,61.93401229353601,3.40909,16,XOM
02-14-2014,100.9375,112,90.0,8.20418,104.5,62.191421510112,62.04916904832,63.96625805840352,94.11,63.749424663072,3.47619,16,XOM
02-18-2014,100.9375,112,90.0,8.20418,104.5,63.722328956064,63.241380156672,64.162634194944,94.07,63.722328956064,3.47619,16,XOM
02-19-2014,100.9375,112,90.0,8.20418,104.5,63.53943293376,63.53943293376,64.548748019808,93.95,63.641041835040006,3.47619,16,XOM
02-20-2014,100.9375,112,90.0,8.20418,104.5,63.57330256752,63.5055633,64.87389650390399,95.37,64.602939433824,3.47619,16,XOM
02-21-2014,100.9375,112,90.0,8.20418,104.5,64.677452628096,64.311660583488,64.745191895616,95.03,64.372625924256,3.47619,16,XOM
02-24-2014,100.9375,112,90.0,8.20418,104.5,64.765513675872,64.63003514083199,65.87643766320001,96.44,65.327749596288,3.47619,16,XOM
02-25-2014,100.9375,112,90.0,8.20418,104.5,65.39548886380801,65.002601112192,65.686767714144,96.31,65.239688548512,3.47619,16,XOM
02-26-2014,100.9375,112,90.0,8.20418,104.5,65.409036717312,64.711322261856,65.612254519872,95.79,64.887444357408,3.47619,16,XOM
02-27-2014,100.9375,112,90.0,8.20418,104.5,64.745191895616,64.460686972032,65.06356645296,95.84,64.921313991168,3.47619,16,XOM
02-28-2014,100.9375,112,90.0,8.20418,104.5,65.002601112192,64.880670430656,65.5939649176416,96.27,65.212592841504,3.47619,16,XOM
03-03-2014,100.9375,112,90.0,8.20418,104.5,64.867122577152,64.23707964994848,65.39548886380801,95.5,64.6910004816,3.47619,16,XOM
03-04-2014,100.9375,112,90.0,8.20418,104.5,65.429358497568,64.941635771424,65.612254519872,96.52,65.381941010304,3.47619,16,XOM
03-05-2014,100.9375,112,90.0,8.20418,104.5,64.48778267904001,63.265088900304,64.548748019808,93.8,63.53943293376,3.47619,16,XOM
03-06-2014,100.6875,112,90.0,8.09876,104.5,63.451371885984,63.180414815904,63.634267908288,93.76,63.512337226752,3.47619,16,XOM
03-07-2014,100.6875,112,90.0,8.09876,104.5,63.925546758624,63.668137542048,64.392947704512,94.99,64.345530217248,3.47619,16,XOM
03-10-2014,100.6875,112,90.0,8.09876,104.5,64.45391304528,64.121990634432,64.72487011536,95.5,64.6910004816,3.47619,16,XOM
03-11-2014,100.6875,112,90.0,8.09876,104.5,64.596165507072,63.349762984704,64.751965822368,94.01,63.681685395552,3.47619,16,XOM
03-12-2014,100.6875,112,90.0,8.09876,104.5,63.431050105728005,63.37008476496,63.993286026144,94.21,63.817163930592,3.47619,16,XOM
03-13-2014,100.6875,112,90.0,8.09876,104.5,63.972964245888,63.221058376416,64.061025293664,93.64,63.431050105728005,3.47619,16,XOM
03-14-2014,100.6875,112,90.0,8.09876,104.5,63.390406545216,63.19396266940801,63.823937857344,93.47,63.315893350944,3.47619,16,XOM
03-17-2014,100.6875,112,90.0,8.09876,104.5,63.641041835040006,63.5055633,64.033929586656,94.32,63.891677124864,3.47619,16,XOM
03-18-2014,100.6875,112,90.0,8.09876,104.5,63.952642465632,63.722328956064,64.5216523128,94.71,64.155860268192,3.47619,16,XOM
03-19-2014,100.6875,112,90.0,8.09876,104.5,64.11521670768,63.085579841376,64.55552194656,93.73,63.492015446496005,3.47619,16,XOM
03-20-2014,100.6875,112,90.0,8.09876,104.5,63.295571570688,63.004292720352005,64.176182048448,94.58,64.067799220416,3.47619,16,XOM
03-21-2014,101.4375,112,90.0,8.27624,105.0,64.42004341152,63.884903198112006,65.022922892448,94.31,63.884903198112006,3.52381,16,XOM
03-24-2014,101.4375,112,90.0,8.27624,105.0,64.189729901952,64.00005995289601,64.42004341152,94.64,64.108442780928,3.52381,16,XOM
03-25-2014,101.4375,112,90.0,8.27624,105.0,64.42004341152,64.21682560896,64.907766137664,94.91,64.291338803232,3.52381,16,XOM
03-26-2014,101.4375,112,90.0,8.27624,105.0,64.73164404211201,63.952642465632,64.745191895616,94.7,64.14908634144,3.5,16,XOM
03-27-2014,101.6875,112,90.0,8.46846,105.0,64.088121000672,63.715555029312,65.3683931568,96.24,65.192271061248,3.59091,16,XOM
