 Date,JPM Price Target,JPM Price Target - High,JPM Price Target - Low,JPM Price Target - StdDev,JPM Price Target - Median,JPM Open,JPM Low,JPM High,JPM Close,JPM Adj. Close,JPM Rating,JPM Price Target - #,Ticker
06-26-2013,57.82759,66,50.0,4.0178,57.0,40.12141858861499,39.5331235240298,40.23572462447999,52.5,40.00711255275,4.24242,29,JPM
06-27-2013,57.82759,66,50.0,4.0178,57.0,40.410993879473,40.296687843608,40.761532389459,53.15,40.502438708165,4.24242,29,JPM
06-28-2013,57.89655,68,50.0,4.1717,57.0,40.479577500992,40.068075771878,40.487197903383,52.79,40.228104222088994,4.24242,29,JPM
07-01-2013,57.89655,68,50.0,4.1717,57.0,40.555781524902,39.953769736013,40.868218022933,52.49,39.999492150359,4.24242,29,JPM
07-02-2013,58.2069,68,50.0,4.27809,58.0,40.352586880515,40.00716812274,41.089480230435,52.8,40.5291342456,4.27273,29,JPM
07-03-2013,58.2069,68,50.0,4.27809,58.0,40.153011598245,40.07625187429501,40.53681021799501,52.77,40.506106328415,4.27273,29,JPM
07-05-2013,58.2069,68,50.0,4.27809,58.0,40.95898869972,40.767089389845,41.450250933,53.99,41.442574960605,4.27273,29,JPM
07-08-2013,58.2069,68,50.0,4.27809,58.0,41.86475344233,41.488630794975,42.148764420945,54.7,41.987569000650005,4.27273,29,JPM
07-09-2013,58.37931,68,51.0,4.03787,58.0,42.271579979265,41.596094408505,42.34833970321501,54.89,42.133412476155,4.27273,29,JPM
07-10-2013,58.37931,68,51.0,4.03787,58.0,42.041300807415006,41.78799371838,42.332987758425,54.83,42.087356641785,4.27273,29,JPM
07-11-2013,58.37931,68,51.0,4.03787,58.0,42.862629853680005,41.872429414725,42.885657770865,55.14,42.32531178603,4.27273,29,JPM
07-12-2013,59.03448,68,51.0,4.13965,60.0,42.609322764645,42.025948862625,42.87030582607501,54.97,42.194820255315,4.27273,29,JPM
07-15-2013,60.76667,71,51.0,5.12954,62.0,42.593970819855,41.9108092767,42.60164679225,54.89,42.133412476155,4.2058800000000005,30,JPM
07-16-2013,60.76667,71,51.0,5.12954,62.0,42.14108844855,42.048976779810005,42.532563040695,55.01,42.225524144895,4.2058800000000005,30,JPM
07-17-2013,60.76667,71,51.0,5.12954,62.0,42.256228034475,42.095032614180006,42.66305457141,55.27,42.425099427165,4.2058800000000005,30,JPM
07-18-2013,60.76667,71,51.0,5.12954,62.0,42.609322764645,42.593970819855,43.39227194893501,56.37,43.269456390615,4.2058800000000005,30,JPM
07-19-2013,60.9,71,51.0,5.13387,62.0,43.376920004145,42.916361660445,43.4114618799225,56.16,43.10826097032,4.2058800000000005,30,JPM
07-22-2013,61.24138,71,51.0,4.87538,62.0,43.115936942715,42.947065550025,43.499735562465006,56.56,43.41529986612,4.27273,29,JPM
07-23-2013,61.24138,71,51.0,4.87538,62.0,43.53811542444,43.350054100762506,43.668606955155,56.67,43.499735562465006,4.27273,29,JPM
07-24-2013,61.72414,71,51.0,4.6379,63.0,43.69163487234,43.27713236301,43.699310844735,56.63,43.469031672885,4.27273,29,JPM
07-25-2013,61.96552,71,51.0,4.87416,63.0,43.330864169775005,42.901009715655,43.36924403175,56.5,43.36924403175,4.27273,29,JPM
07-26-2013,61.96552,71,51.0,4.87416,63.0,43.031501246370006,42.678406516200006,43.15431680469,56.05,43.023825273975,4.27273,29,JPM
07-29-2013,62.06897,71,51.0,4.92657,63.0,42.97009346721,42.509535123510005,42.985445412,55.69,42.747490267755,4.27273,29,JPM
07-30-2013,62.06897,71,51.0,4.92657,63.0,42.885657770865,42.27925595166,42.9816074258025,55.33,42.471155261535,4.27273,29,JPM
07-31-2013,62.06897,71,51.0,4.92657,63.0,42.66305457141,42.609322764645,43.19269666666501,55.73,42.778194157335,4.27273,29,JPM
08-01-2013,62.06897,71,51.0,4.92657,63.0,43.26178041822,43.13896485990001,43.58417125881,56.54,43.39994792133,4.27273,29,JPM
08-02-2013,62.06897,71,51.0,4.92657,63.0,43.19269666666501,42.993121384395,43.384595976540005,56.49,43.361568059355,4.27273,29,JPM
08-05-2013,62.06897,71,51.0,4.92657,63.0,43.238752501035,42.993121384395,43.43065181091,56.1,43.06220513595,4.27273,29,JPM
08-06-2013,62.06897,71,51.0,4.92657,63.0,42.977769439605005,42.455803316745005,43.06220513595,55.49,42.593970819855,4.27273,29,JPM
08-07-2013,62.06897,71,51.0,4.92657,63.0,42.26390400687,42.048976779810005,42.57861887506501,55.3,42.44812734435,4.27273,29,JPM
08-08-2013,62.06897,71,51.0,4.92657,63.0,42.54023901309,41.5462005879375,42.778194157335,54.83,42.087356641785,4.27273,29,JPM
08-09-2013,62.06897,71,51.0,4.92657,63.0,41.979893028255,41.703558022035,42.332987758425,54.52,41.84940149754,4.27273,29,JPM
08-12-2013,62.06897,71,51.0,4.92657,63.0,41.48095482258,41.20461981636,41.695882049640005,54.09,41.519334684555005,4.27273,29,JPM
08-13-2013,62.06897,71,51.0,4.92657,63.0,41.61912232569,41.1432120372,41.987569000650005,54.29,41.672854132455,4.27273,29,JPM
08-14-2013,62.06897,71,51.0,4.92657,63.0,41.703558022035,41.450250933,42.10263182685105,54.15,41.565390518925,4.27273,29,JPM
08-15-2013,62.06897,71,51.0,4.92657,63.0,41.08180425804,40.59821799715501,41.20461981636,53.29,40.905256892955,4.27273,29,JPM
08-16-2013,62.06897,71,51.0,4.92657,63.0,40.736385500265,40.736385500265,41.281379540310006,53.29,40.905256892955,4.27273,29,JPM
08-19-2013,62.06897,71,51.0,4.92657,63.0,40.59821799715501,39.7615370061,40.644273831525005,51.83,39.78456492328501,4.27273,29,JPM
08-20-2013,62.06897,71,51.0,4.92657,63.0,39.74618506131,38.88647615307,40.19139146022,52.12,40.00716812274,4.27273,29,JPM
08-21-2013,62.06897,71,51.0,4.92657,63.0,39.85364867484,39.362386441560005,40.08008986049251,51.63,39.631045475385,4.27273,29,JPM
08-22-2013,62.06897,71,51.0,4.92657,63.0,39.915056454,39.861324647235,40.42167063207,52.21,40.07625187429501,4.27273,29,JPM
08-23-2013,62.35714,71,51.0,4.76756,63.0,40.122307708665005,39.83829673005,40.2412852807875,52.32,40.16068757064,4.28125,28,JPM
08-26-2013,62.35714,71,51.0,4.76756,63.0,40.03787201232,39.753861033705,40.32955896333,51.8,39.7615370061,4.28125,28,JPM
08-27-2013,62.35714,71,51.0,4.76756,63.0,39.16281115929,38.802040456725,39.569637696225,50.6,38.840420318700005,4.28125,28,JPM
08-28-2013,62.35714,71,51.0,4.76756,63.0,38.633169064035,38.479649616135006,39.185839076475,50.58,38.82506837391,4.28125,28,JPM
08-29-2013,62.35714,71,51.0,4.76756,63.0,38.832744346305006,38.725280732775005,39.28562671761,50.7,38.91718004265,4.28125,28,JPM
08-30-2013,62.35714,71,51.0,4.76756,63.0,39.00929171139,38.602465174455,39.016967683785,50.53,38.78668851193501,4.28125,28,JPM
09-03-2013,62.35714,71,51.0,4.76756,63.0,39.339358524375,39.016967683785,39.70012922694,51.13,39.247246855635005,4.28125,28,JPM
09-04-2013,62.35714,71,51.0,4.76756,63.0,39.27027477282,39.093727407735,39.99181617795,51.87,39.815268812865,4.28125,28,JPM
09-05-2013,62.35714,71,51.0,4.76756,63.0,39.938084371185,39.845972702445,40.31420701854,52.11,39.999492150345,4.28125,28,JPM
09-06-2013,62.35714,71,51.0,4.76756,63.0,40.229771322195,39.362386441560005,40.460050494045,52.56,40.344910908120006,4.28125,28,JPM
09-09-2013,62.35714,71,51.0,4.76756,63.0,40.51378230081,40.31420701854,40.828497169005,52.86,40.57519007997,4.28125,28,JPM
09-10-2013,62.39286,71,51.0,4.75349,63.0,41.319759402285,40.91293286535,41.396519126235,53.67,41.196943843965,4.28125,28,JPM
