 Date,DHR Price Target,DHR Price Target - High,DHR Price Target - Low,DHR Price Target - StdDev,DHR Price Target - Median,DHR Open,DHR Low,DHR High,DHR Close,DHR Adj. Close,DHR Rating,DHR Price Target - #,Ticker
06-08-2018,109.94118,120.0,86.0,7.64253,112.0,100.671632031488,100.407119179712,101.10269001216,103.0,100.9067545664,4.31579,17,DHR
06-11-2018,109.94118,120.0,86.0,7.64253,112.0,100.936144883264,100.789193298944,101.8864317952,103.24,101.141877101312,4.31579,17,DHR
06-12-2018,109.94118,120.0,86.0,7.64253,112.0,101.337812547072,100.838177160384,102.013789834944,103.16,101.063502923008,4.31579,17,DHR
06-13-2018,109.94118,120.0,86.0,7.64253,112.0,101.132080329024,100.456103041152,101.474967359104,102.62,100.534477219456,4.31579,17,DHR
06-14-2018,109.94118,120.0,86.0,7.64253,112.0,100.9067545664,100.230777278528,101.303523844064,102.64,100.554070764032,4.31579,17,DHR
06-15-2018,109.94118,120.0,86.0,7.64253,112.0,99.97606119904,98.584919534144,100.975331972416,102.31,100.230777278528,4.31579,17,DHR
06-18-2018,109.94118,120.0,86.0,7.64253,112.0,99.505816129216,98.65349694016,99.78012575328,101.27,99.211912960576,4.31579,17,DHR
06-19-2018,109.94118,120.0,86.0,7.64253,112.0,98.398780860672,97.585648760768,98.761261435328,100.03,97.997113196864,4.31579,17,DHR
06-20-2018,109.94118,120.0,86.0,7.64253,112.0,98.232235731776,96.909671472896,98.575122761856,99.14,97.125200463232,4.31579,17,DHR
06-21-2018,109.94118,120.0,86.0,7.64253,112.0,97.18398109696,95.694871709184,97.40440847344,97.91,95.920197471808,4.31579,17,DHR
06-22-2018,109.94118,120.0,86.0,7.64253,112.0,96.752923116288,96.233694185024,97.91873901856,99.3,97.28194881984,4.31579,17,DHR
06-25-2018,109.94118,120.0,86.0,7.64253,112.0,97.066419829504,96.03286035312,97.066419829504,98.86,96.850890839168,4.31579,17,DHR
06-26-2018,109.94118,120.0,86.0,7.64253,112.0,97.076216601792,96.591276373536,97.52686812704,99.12,97.105606918656,4.31579,17,DHR
06-27-2018,109.94118,120.0,86.0,7.64253,112.0,97.487681037888,96.15532000672,98.75146466304,98.15,96.15532000672,4.31579,17,DHR
06-28-2018,109.94118,120.0,86.0,7.64253,112.0,96.135694473847,95.272170832559,97.087533032994,98.62,96.773524436162,4.31579,17,DHR
06-29-2018,109.94118,120.0,86.0,7.64253,112.0,96.979592577833,96.793149973464,97.784239607215,98.68,96.832401048068,4.31579,17,DHR
07-02-2018,109.94118,120.0,86.0,7.64253,112.0,96.341762615518,95.57636666074,96.420264764726,98.13,96.292698772263,4.31579,17,DHR
07-03-2018,109.94118,120.0,86.0,7.64253,112.0,96.812775510766,96.371200921471,97.470231010383,98.47,96.626332906397,4.31579,17,DHR
07-05-2018,109.94118,120.0,86.0,7.64253,112.0,97.224911794108,96.4055456117495,97.587984234195,98.86,97.009030883786,4.31579,17,DHR
07-06-2018,109.94118,120.0,86.0,7.64253,112.0,97.1464096449,97.018843652437,97.627235308799,99.33,97.470231010383,4.31579,17,DHR
07-09-2018,109.94118,120.0,86.0,7.64253,112.0,97.73517576396,97.185660719504,98.049184360792,99.5,97.63704807745,4.31579,17,DHR
