 Date,BKNG Price Target,BKNG Price Target - High,BKNG Price Target - Low,BKNG Price Target - StdDev,BKNG Price Target - Median,BKNG Open,BKNG Low,BKNG High,BKNG Close,BKNG Adj. Close,BKNG Rating,BKNG Price Target - #,Ticker
01-20-2016,1496.0,1830.0,1225.0,141.01064,1500.0,1075.0,1039.26,1098.62,1081.33,1081.33,4.16667,25,BKNG
01-21-2016,1496.0,1830.0,1225.0,141.01064,1500.0,1084.36,1067.06,1111.0,1089.14,1089.14,4.16667,25,BKNG
01-22-2016,1496.0,1830.0,1225.0,141.01064,1500.0,1111.83,1104.14,1126.57,1118.11,1118.11,4.16667,25,BKNG
01-25-2016,1496.0,1830.0,1225.0,141.01064,1500.0,1117.41,1097.88,1126.56,1097.93,1097.93,4.12903,25,BKNG
01-26-2016,1489.6,1830.0,1225.0,145.16143,1500.0,1097.11,1070.1,1124.6994,1111.54,1111.54,4.12903,25,BKNG
01-27-2016,1471.92,1830.0,1200.0,158.37321,1500.0,1079.58,1038.14,1093.13,1043.7,1043.7,4.09677,25,BKNG
01-28-2016,1471.92,1830.0,1200.0,158.37321,1500.0,1058.79,1015.15,1059.72,1043.13,1043.13,4.12903,25,BKNG
01-29-2016,1471.92,1830.0,1200.0,158.37321,1500.0,1045.4,1030.27,1074.6599,1064.97,1064.97,4.12903,25,BKNG
02-01-2016,1463.52,1830.0,1200.0,162.18437,1490.0,1063.0,1056.25,1094.79,1084.87,1084.87,4.12903,25,BKNG
02-02-2016,1463.52,1830.0,1200.0,162.18437,1490.0,1070.0,1056.54,1084.15,1066.79,1066.79,4.12903,25,BKNG
02-03-2016,1463.52,1830.0,1200.0,162.18437,1490.0,1070.25,1020.43,1072.34,1049.16,1049.16,4.12903,25,BKNG
02-04-2016,1442.52,1830.0,1200.0,164.75925,1460.0,1044.79,1023.25,1073.645,1069.1,1069.1,4.12903,25,BKNG
02-05-2016,1442.52,1830.0,1200.0,164.75925,1460.0,1063.1,1010.69,1064.05,1015.55,1015.55,4.12903,25,BKNG
02-08-2016,1442.52,1830.0,1200.0,164.75925,1460.0,996.49,954.83,1000.0,973.8,973.8,4.12903,25,BKNG
02-09-2016,1442.52,1830.0,1200.0,164.75925,1460.0,958.43,954.02,1003.74,991.29,991.29,4.12903,25,BKNG
02-10-2016,1442.52,1830.0,1200.0,164.75925,1460.0,1004.92,1002.3,1047.995,1032.77,1032.77,4.12903,25,BKNG
02-11-2016,1442.52,1830.0,1200.0,164.75925,1460.0,1054.0,1028.53,1063.63,1055.24,1055.24,4.12903,25,BKNG
02-12-2016,1442.52,1830.0,1200.0,164.75925,1460.0,1066.88,1050.56,1078.89,1058.01,1058.01,4.12903,25,BKNG
02-16-2016,1442.52,1830.0,1200.0,164.75925,1460.0,1075.89,1072.27,1115.84,1110.68,1110.68,4.12903,25,BKNG
02-17-2016,1465.8,1830.0,1250.0,152.01105,1475.0,1245.0,1220.15,1246.61,1235.56,1235.56,4.12903,25,BKNG
02-18-2016,1481.6,1830.0,1250.0,142.39888,1500.0,1245.0,1236.38,1257.23,1251.95,1251.95,4.09677,25,BKNG
02-19-2016,1481.6,1830.0,1250.0,142.39888,1500.0,1238.28,1236.53,1284.99,1283.74,1283.74,4.09677,25,BKNG
02-22-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1286.56,1268.0,1291.44,1288.42,1288.42,4.09677,25,BKNG
02-23-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1278.3,1258.71,1288.4,1261.89,1261.89,4.09677,25,BKNG
02-24-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1248.1,1222.71,1264.85,1264.21,1264.21,4.09677,25,BKNG
02-25-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1263.25,1247.04,1271.98,1263.41,1263.41,4.09677,25,BKNG
02-26-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1268.75,1244.4,1273.34,1254.27,1254.27,4.09677,25,BKNG
02-29-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1250.3,1248.49,1282.64,1265.21,1265.21,4.09677,25,BKNG
03-01-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1283.59,1277.955,1296.5697,1295.92,1295.92,4.09677,25,BKNG
03-02-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1297.36,1281.55,1301.63,1301.37,1301.37,4.09677,25,BKNG
03-03-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1296.68,1288.65,1305.84,1303.04,1303.04,4.09677,25,BKNG
03-04-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1306.53,1286.06,1308.96,1297.71,1297.71,4.09677,25,BKNG
03-07-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1281.4,1281.4,1296.29,1291.43,1291.43,4.09677,25,BKNG
03-08-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1284.0,1280.59,1298.94,1282.77,1282.77,4.09677,25,BKNG
03-09-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1280.0,1263.415,1291.9,1291.89,1291.89,4.09677,25,BKNG
03-10-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1295.81,1274.5,1306.0,1293.77,1293.77,4.09677,25,BKNG
03-11-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1307.4,1300.6,1328.1,1326.87,1326.87,4.09677,25,BKNG
03-14-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1320.22,1317.59,1341.3,1325.73,1325.73,4.09677,25,BKNG
03-15-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1315.15,1315.15,1339.0,1332.13,1332.13,4.09677,25,BKNG
03-16-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1328.2,1325.0,1357.8999,1350.99,1350.99,4.09677,25,BKNG
03-17-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1341.7,1337.11,1356.3328,1346.86,1346.86,4.09677,25,BKNG
03-18-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1353.0,1338.2967,1361.63,1344.22,1344.22,4.09677,25,BKNG
03-21-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1340.95,1333.36,1351.0,1350.51,1350.51,4.09677,25,BKNG
03-22-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1311.0,1306.0,1328.145,1319.41,1319.41,4.09677,25,BKNG
03-23-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1322.91,1300.0,1323.8414,1306.11,1306.11,4.09677,25,BKNG
03-24-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1300.0,1291.63,1304.435,1301.19,1301.19,4.09677,25,BKNG
03-28-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1301.35,1271.01,1304.7099,1287.03,1287.03,4.09677,25,BKNG
03-29-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1281.2,1281.2,1313.9,1307.89,1307.89,4.09677,25,BKNG
03-30-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1316.9,1311.0352,1323.085,1317.03,1317.03,4.0625,25,BKNG
03-31-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1312.31,1288.33,1314.99,1288.96,1288.96,4.0625,25,BKNG
04-01-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1278.0,1273.0,1301.72,1299.7,1299.7,4.0625,25,BKNG
04-04-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1297.55,1276.29,1298.2,1281.76,1281.76,4.0625,25,BKNG
04-05-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1270.0,1265.56,1287.86,1279.08,1279.08,4.0625,25,BKNG
04-06-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1280.22,1273.21,1294.88,1293.01,1293.01,4.0625,25,BKNG
04-07-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1291.47,1271.449,1292.33,1276.5,1276.5,4.0625,25,BKNG
04-08-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1282.78,1271.31,1283.55,1274.15,1274.15,4.0625,25,BKNG
04-11-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1281.95,1263.205,1288.39,1264.63,1264.63,4.0625,25,BKNG
04-12-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1268.55,1255.11,1304.58,1300.28,1300.28,4.0625,25,BKNG
04-13-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1310.35,1300.5,1329.94,1317.76,1317.76,4.0625,25,BKNG
04-14-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1323.0,1319.0,1340.0,1336.39,1336.39,4.0625,25,BKNG
04-15-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1333.67,1320.76,1335.11,1331.9,1331.9,4.0625,25,BKNG
04-18-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1328.89,1328.89,1369.029,1353.37,1353.37,4.0625,25,BKNG
04-19-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1359.88,1333.29,1360.0,1345.78,1345.78,4.0625,25,BKNG
04-20-2016,1480.8,1810.0,1250.0,140.4826,1500.0,1346.6,1338.33,1364.33,1350.0,1350.0,4.0625,25,BKNG
04-21-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1343.31,1337.0,1357.43,1340.0,1340.0,4.0625,25,BKNG
04-22-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1331.0,1331.0,1349.57,1338.5,1338.5,4.0625,25,BKNG
04-25-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1332.0,1323.45,1341.0,1335.27,1335.27,4.0625,25,BKNG
04-26-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1334.0,1321.49,1336.83,1333.95,1333.95,4.0625,25,BKNG
04-27-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1331.75,1327.0,1357.0,1353.74,1353.74,4.0625,25,BKNG
04-28-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1330.0,1310.145,1355.9099,1317.59,1317.59,4.0625,25,BKNG
04-29-2016,1482.24,1810.0,1250.0,139.31411,1500.0,1332.41,1332.41,1368.46,1343.66,1343.66,4.0625,25,BKNG
